年月,地區,類別,男性[筆數],男性[金額，新台幣],女性[筆數],女性[金額，新台幣]
105年09月,桃園市,其他,146163,843729781,225526,1207945595
105年10月,桃園市,其他,164803,896482700,249434,1089692913
105年11月,桃園市,其他,158763,908949334,236194,1109777406
105年12月,桃園市,其他,170606,975770643,249253,1160890354
106年01月,桃園市,其他,156982,907851161,230453,1064612205
106年02月,桃園市,其他,138589,731050170,198881,838011385
106年03月,桃園市,其他,155914,872051552,218740,971084298
106年04月,桃園市,其他,149465,832868476,213366,1062877448
106年05月,桃園市,其他,156920,888436402,226887,1101176089
106年06月,桃園市,其他,155063,858058395,220561,928148736
106年07月,桃園市,其他,164902,905440924,236322,995456494
106年08月,桃園市,其他,161352,876261956,235376,965045361
106年09月,桃園市,其他,157080,879029964,229165,1114624849
106年10月,桃園市,其他,167468,882111875,238247,986164744
106年11月,桃園市,其他,168947,976169821,234636,1051111636
106年12月,桃園市,其他,173982,1004327207,237953,1073008622
107年01月,桃園市,其他,159128,889895622,211841,943835130
107年02月,桃園市,其他,147688,760068897,196180,804749663
107年03月,桃園市,其他,170349,932603235,231014,1121660889
107年04月,桃園市,其他,157475,773953710,211239,835420408
107年05月,桃園市,其他,168410,871219450,234155,1013854901
103年01月,桃園市,行,737545,993292069,357923,471741303
103年02月,桃園市,行,638456,888721490,309059,447500329
103年03月,桃園市,行,737259,1071266394,363985,583168042
103年04月,桃園市,行,705768,994614191,346100,525322976
103年05月,桃園市,行,748042,1067560032,370442,584526740
103年06月,桃園市,行,742996,1055677363,364819,554822968
103年07月,桃園市,行,781602,1111751326,383038,581478047
103年08月,桃園市,行,788774,1083070656,388837,555412472
103年09月,桃園市,行,757196,1030915198,372050,545961358
103年10月,桃園市,行,774248,1047466386,385108,584636822
103年11月,桃園市,行,742991,977622827,372158,561304416
103年12月,桃園市,行,793510,991689432,395137,576742286
104年01月,桃園市,行,747461,887190740,368282,546652593
104年02月,桃園市,行,669240,801119596,322659,494085088
104年03月,桃園市,行,768493,1003131151,379193,643141464
104年04月,桃園市,行,735633,955785018,363363,616032612
104年05月,桃園市,行,771408,1045610181,386594,696364303
104年06月,桃園市,行,793352,1056361621,392340,682564705
104年07月,桃園市,行,806696,1013932268,399084,628274561
104年08月,桃園市,行,787850,927074138,390019,572841164
104年09月,桃園市,行,774387,915636554,380227,568037607
104年10月,桃園市,行,802929,1023188377,398888,696503111
104年11月,桃園市,行,776697,971018045,386865,644669787
104年12月,桃園市,行,790708,945697787,391053,615972977
105年01月,桃園市,行,550942,758132783,273829,591715808
105年02月,桃園市,行,463204,690915830,229398,555817466
105年03月,桃園市,行,538999,899267909,272452,777238217
105年04月,桃園市,行,513675,809486701,258248,665643463
105年05月,桃園市,行,544314,878660368,274631,694983445
105年06月,桃園市,行,570544,913255315,288955,706132813
105年07月,桃園市,行,562771,862266926,282578,639172897
105年08月,桃園市,行,626744,901859531,307910,661141820
105年09月,桃園市,行,569171,833872458,280797,643382050
105年10月,桃園市,行,614136,1015084565,306212,827254070
105年11月,桃園市,行,586880,1014390362,299113,822655576
105年12月,桃園市,行,619581,1077184180,316755,847443247
106年01月,桃園市,行,540125,937920895,279151,744229045
106年02月,桃園市,行,487055,993754896,260860,871113907
106年03月,桃園市,行,574370,1157115611,306761,1020272837
106年04月,桃園市,行,569640,1008415044,297500,815953109
106年05月,桃園市,行,553838,1003566629,292496,807697236
106年06月,桃園市,行,499539,1112311954,270662,878068820
106年07月,桃園市,行,522606,981645130,280274,794091583
106年08月,桃園市,行,543265,1064658496,297684,883059038
106年09月,桃園市,行,528801,1076648532,290633,927483261
106年10月,桃園市,行,547223,1210765648,309181,1115605474
106年11月,桃園市,行,523963,1069395270,288188,867809388
106年12月,桃園市,行,560835,1210909174,315652,1054210532
107年01月,桃園市,行,499399,1075719473,277063,905155423
107年02月,桃園市,行,464823,906148657,255746,761602739
107年03月,桃園市,行,559793,1290724346,319657,1187619802
107年04月,桃園市,行,585121,1164441292,325699,963628294
107年05月,桃園市,行,679280,1287786884,374190,1044640573
